word,m_embodiment,sd_embodiment
use,4.2,1.91
vacate,3.29,1.6
vanish,3.5,2.05
visit,4.29,1.66
vote,4.25,2.3
wail,5.03,1.81
wait,3.58,1.8
wallow,2.65,1.52
wander,4.61,1.75
want,3.23,1.61
warn,4.06,1.91
wash,5.74,1.18
wave,5.77,1.44
wear,5.68,1.62
wed,4.25,2.08
weep,5.92,1.27
welcome,3.28,1.94
whine,4.97,1.86
whisk,4.86,1.9
wield,3.45,1.89
wince,4.65,1.89
wipe,4.9,1.81
wonder,3.28,1.78
work,5.23,1.48
worry,4.03,2.1
wrestle,6.13,1.34
write,5.19,1.66
yawn,6.29,1.13
yearn,3.23,1.69
yodel,5.23,2.02
zoom,2.92,1.76
