word,imageability,sd_rating,rt,sd_rt,n_raters
craze,2.7,1.7,1552.1,1153.5,30
creak,4.2,2.5,1514.9,746.9,31
cream,5.7,2,1320.1,653.8,31
crease,4.1,2.2,1871.9,1196.6,27
creed,3.8,2.5,1327,667.8,30
creek,5.9,1.9,1184.5,513.9,27
creep,4,2.4,1442.9,780.4,31
crepe,3.1,2.1,1587.6,836.5,30
crept,4,2.2,1453.8,1043.5,30
crest,5.4,1.9,1671.6,1246.9,31
crew,5.2,1.9,1468.1,799.9,30
crib,6.1,1.8,1135.7,521.3,31
crick,3,2,1827.8,1416.4,29
crime,4,2.3,1638.6,1031.6,30
cringe,3.7,2.3,1191.9,446.2,29
crisp,4,2.3,1487.1,744.6,29
croak,3.5,2.3,1594.2,994.1,29
crock,3.3,2.3,1784.8,1174.2,28
crook,5,2.1,1341.5,700.8,27
croon,2.4,1.7,1615.8,959.3,30
crop,5.6,2.2,1231.1,694.6,30
cross,6.3,1.5,1225.3,537.4,29
crotch,5.3,2.1,1624.4,751.9,29
crouch,4.4,2.2,1656,834.1,30
crow,6.3,1.7,990.8,292.1,31
crowd,5.3,2.1,1511.6,956.3,30
crown,6.2,1.5,1003.4,541.2,29
crude,2.5,1.7,1600.1,1125.4,28
cruise,5.6,2.1,1546.9,1571.2,28
crumb,6.2,1.4,1558.7,1482.3,31
crunch,4.1,2.1,1716.1,1077.1,31
crush,4.7,2.2,1309.5,754.6,30
crust,5.8,1.7,1378,799.3,31
crutch,5.8,1.9,1357.6,669.2,30
cry,5.3,2.1,1163.9,518,31
crypt,5,2.3,1516.2,955.2,30
cub,5.8,1.9,1521.9,886.4,31
cube,6.1,1.6,1285.1,553,31
cud,2.8,2.3,1418.9,780.8,29
cue,3.3,2.3,1628.2,1213.5,31
cuff,5.4,1.9,1313.4,794.8,28
cult,4.8,2.2,1340.1,580.4,30
cup,6.7,1.2,1024.4,349.3,31
curb,5.8,1.8,1467.7,1126.1,30
curd,3.3,2.2,1417.3,670,30
cure,3.2,2,1805,1340.6,30
curl,5.1,2.3,1546.4,1114.4,30
curse,3.4,2.1,1586.3,840.6,31
curt,2.4,2.1,1215,855.9,29
curve,4.4,2.1,1487,840.4,29
cusp,1.8,1.3,1736.4,1211.4,31
cut,5.1,2,1497.6,703.9,30
cute,4.4,2.3,1418.4,627.4,31
cyst,3,2.4,1331.9,632.7,30
czar,3.2,2.4,1425.3,670.4,30
dab,3.1,2.1,1367.8,963.2,30
dad,6.7,0.8,1161.8,503.8,31
daft,1.8,1.6,1484.4,751.6,30
dale,3.2,2.4,1490.1,859.8,30
dam,5.3,2.4,1280,589,31
dame,3.5,2.3,1181.5,625.3,30
damn,3.2,2.5,1956.3,1349.6,27
damp,4.2,1.8,1701.1,1456.3,30
dance,5.6,1.9,1462.7,734,30
dank,2.2,1.7,1445.7,872.2,30
dare,2.5,1.9,1591.3,1077.5,30
dark,4.6,2.6,1378.9,692.6,30
darn,2,1.2,1432.3,684,30
dart,6.1,1.8,1264.1,556.2,30
dash,3.8,2.3,1636.1,1053.4,31
date,4.8,2,1531.5,926.3,28
daunt,2.3,1.6,1669,1547.8,30
dawn,5.3,2.1,1329.6,1183.9,28
day,4.8,2.4,1643.7,1147.4,30
days,4,2.3,1466.5,747.2,29
daze,3.1,2,1646.9,1342,29
dead,5.3,1.9,1519.4,770,29
deaf,3.3,2.1,1558.5,1150.1,29
deal,3,2.1,1307.6,873.8,30
dealt,2.8,2,1568.6,1215.9,29
dean,4.6,2.4,1658.5,1027.9,28
dear,3.6,2.4,1606.7,1073,31
dearth,1.4,0.9,1311.2,545.3,31
death,4.7,2.5,1571.9,932.2,30
debt,4,2.3,1599,685.3,31
deck,6.4,1.5,1370.1,796.3,29
deed,3.4,1.9,1610.8,815.9,30
deem,1.8,1.3,1194.6,748.5,30
deep,4.3,2.2,1360.2,568.1,31
deer,6.7,1,1054.1,656,30
dell,3.5,2.4,1544.7,1206.4,31
den,5.4,2.2,1151.9,586.9,30
dense,3,2,1237.9,738.1,30
dent,5.3,2.1,1345.7,769.7,29
depth,3.5,2.5,1672.1,1170.1,30
desk,6.4,1.6,1003.9,333.1,29
deuce,3.2,2.2,1478.8,734.8,30
dew,5.7,2,1391.5,873.7,28
dice,6.4,1.5,1084.9,360.7,30
did,1.9,1.4,1257.4,768.7,31
die,4.4,2.4,1392.1,819.8,30
dig,5.4,2,1326.1,637.2,29
dike,4,2.5,2219,1521.4,27
dill,4.3,2.5,1652.6,949.5,30
dim,3.8,2.2,1671.1,1115.3,30
dime,6.8,1,1041.4,428.7,31
din,2.7,2,1452.5,890.2,30
dine,3.5,2.3,1543.8,1009.9,30
dip,4.3,2.1,1706.9,1127.4,29
dire,1.9,1.4,1748.7,1383.4,28
dirge,1.7,1.4,1573.9,1187.4,31
dirt,6.2,1.5,1124.6,608.6,31
dish,6.2,1.6,1349.4,806.2,29
ditch,5.9,1.5,1373.9,776.5,29
dive,4.6,2.5,1198.4,521.2,31
do,1.7,1.1,1204.5,891.9,31
dock,6.1,1.6,1263.1,646,30
dodge,4.9,2.3,1320.9,871.2,30
doe,5.8,2.2,1124.8,533.5,30
does,1.6,1.3,1216.9,622.6,29
dog,6.9,0.7,1222.4,840.6,29
dole,2.6,2.1,1390.6,773.4,30
doll,6.4,1.6,903.6,295.6,31
dolt,1.8,1,1451.2,1099.9,31
dome,4.8,2.2,1446.5,793.2,30
don,2.4,2,1639.4,1210.6,30
done,2.3,2,1495.9,933.6,29
doom,3.4,2.4,1166.6,649.5,30
dope,4.9,2.2,1629,718.2,30
dorm,6,1.8,1091.6,225.4,28
dose,3.3,2.2,1692.2,995.3,30
dot,6.3,1.6,1434.1,1314,29
dote,2,1.5,1415.4,1096,29
doubt,2.5,1.9,1538.3,1069.9,30
douche,3,2.2,1518.6,843.1,26
dough,5.9,1.8,1220.2,588.4,30
dour,1.5,0.9,1426.6,1269,30
douse,2.6,1.9,1243.5,554.9,30
dove,6.5,1.5,1067.9,548,30
down,4,2.4,1323.5,612.3,27
